gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
1304418692				CC_BY_4_0	2016-04-15T21:41:31Z					ITA406			Bioversity				OCCURRENCE				f032eba2-db82-49f6-b385-b5d1c511ec15	2903067		H. Olmo											native				PRESENT								. Coordinates do not match to country in source data. Not found a country in reverser geocoding. Bioversity International																																	NORTH_AMERICA				US	California	Napa		de Latour Vineyard in Rutherford (Block 51)									38.4588	-122.4206													original																																					Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			07044577-bd82-4089-9f3a-f4a9d2170b2e	CO	2024-04-29T10:15:21.363Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		EML	2024-04-29T10:15:21.363Z	2024-04-28T02:15:11.966Z	true			false	NORTH_AMERICA	LATIN_AMERICA	USA	United States	USA.5_1	California	USA.5.28_1	Napa			LC
1304418691				CC_BY_4_0	2016-04-15T21:41:31Z					ITA406			Bioversity				OCCURRENCE				24d4e6cf-d221-4217-8186-34ee287550da	2903121		H. Olmo											native				PRESENT								. Coordinates do not match to country in source data. Not found a country in reverser geocoding. Bioversity International																																	NORTH_AMERICA				US	California	Kern		Lanza Vineyard in Delano (west side)									35.7615	-119.2442													original																																					Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			07044577-bd82-4089-9f3a-f4a9d2170b2e	CO	2024-04-29T10:14:02.497Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		EML	2024-04-29T10:14:02.497Z	2024-04-28T02:15:11.966Z	true			false	NORTH_AMERICA	LATIN_AMERICA	USA	United States	USA.5_1	California	USA.5.15_1	Kern			LC
1304418688				CC_BY_4_0	2016-04-15T21:41:31Z					ITA406			Bioversity				OCCURRENCE				4191e1af-5e63-4ca5-8bd2-f8d141048464	2903051		H. Olmo											native				PRESENT								. Coordinates do not match to country in source data. Not found a country in reverser geocoding. Bioversity International																																	NORTH_AMERICA				US	California	Napa		de Latour Vineyard in Rutherford (Block 51)									38.4588	-122.4206													original																																					Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			07044577-bd82-4089-9f3a-f4a9d2170b2e	CO	2024-04-29T10:14:52.207Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		EML	2024-04-29T10:14:52.207Z	2024-04-28T02:15:11.966Z	true			false	NORTH_AMERICA	LATIN_AMERICA	USA	United States	USA.5_1	California	USA.5.28_1	Napa			LC
1304418685				CC_BY_4_0	2016-04-15T21:41:31Z					ITA406			Bioversity				OCCURRENCE				7a502d52-7d13-4615-a009-c2261afddb69	2903060		H. Olmo											native				PRESENT								. Coordinates do not match to country in source data. Not found a country in reverser geocoding. Bioversity International																																	NORTH_AMERICA				US	California	San Bernardino		USDA Experimental Vineyard in Guasti (B2 Row 70)									34.0698	-117.5972													original																																					Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			07044577-bd82-4089-9f3a-f4a9d2170b2e	CO	2024-04-29T10:14:16.940Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		EML	2024-04-29T10:14:16.940Z	2024-04-28T02:15:11.966Z	true			false	NORTH_AMERICA	LATIN_AMERICA	USA	United States	USA.5_1	California	USA.5.36_1	San Bernardino			LC
1304418684				CC_BY_4_0	2016-04-15T21:41:31Z					ITA406			Bioversity				OCCURRENCE				ea7cda0c-857f-4660-b3e9-982fec9b6df4	2903064		H. Olmo											native				PRESENT								. Coordinates do not match to country in source data. Not found a country in reverser geocoding. Bioversity International																																	NORTH_AMERICA				US	California	San Bernardino		USDA Experimental Vineyard in Guasti (B2 Row 67)									34.0698	-117.5972													original																																					Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			07044577-bd82-4089-9f3a-f4a9d2170b2e	CO	2024-04-29T10:15:20.764Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		EML	2024-04-29T10:15:20.764Z	2024-04-28T02:15:11.966Z	true			false	NORTH_AMERICA	LATIN_AMERICA	USA	United States	USA.5_1	California	USA.5.36_1	San Bernardino			LC
1304418677				CC_BY_4_0	2016-04-15T21:41:31Z					ITA406			Bioversity				OCCURRENCE				8422b246-f7f3-4aa1-b48d-0dd8e121a798	2903059		H. Olmo											native				PRESENT								. Coordinates do not match to country in source data. Not found a country in reverser geocoding. Bioversity International																																	NORTH_AMERICA				US	California	San Bernardino		USDA Experimental Vineyard in Guasti (B2 Row 74)									34.0698	-117.5972													original																																					Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			07044577-bd82-4089-9f3a-f4a9d2170b2e	CO	2024-04-29T10:15:05.982Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		EML	2024-04-29T10:15:05.982Z	2024-04-28T02:15:11.966Z	true			false	NORTH_AMERICA	LATIN_AMERICA	USA	United States	USA.5_1	California	USA.5.36_1	San Bernardino			LC
1304418673				CC_BY_4_0	2016-04-15T21:41:31Z					ITA406			Bioversity				OCCURRENCE				517b3450-2c1b-45ab-9282-b0fc585937fd	2903045		H. Olmo											native				PRESENT								. Coordinates do not match to country in source data. Not found a country in reverser geocoding. Bioversity International																																	NORTH_AMERICA				US	California	San Bernardino		USDA Experimental Vineyard in Guasti (B2 Row 44)									34.0698	-117.5972													original																																					Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			07044577-bd82-4089-9f3a-f4a9d2170b2e	CO	2024-04-29T10:14:53.873Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		EML	2024-04-29T10:14:53.873Z	2024-04-28T02:15:11.966Z	true			false	NORTH_AMERICA	LATIN_AMERICA	USA	United States	USA.5_1	California	USA.5.36_1	San Bernardino			LC
1304418671				CC_BY_4_0	2016-04-15T21:41:31Z					ITA406			Bioversity				OCCURRENCE				33d6690a-e941-45db-943c-1d37fb7b3623	2903048		H. Olmo											native				PRESENT								. Coordinates do not match to country in source data. Not found a country in reverser geocoding. Bioversity International																																	NORTH_AMERICA				US	California	San Bernardino		USDA Experimental Vineyard in Guasti (B2 Row 85)									34.0698	-117.5972													original																																					Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			07044577-bd82-4089-9f3a-f4a9d2170b2e	CO	2024-04-29T10:14:05.173Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		EML	2024-04-29T10:14:05.173Z	2024-04-28T02:15:11.966Z	true			false	NORTH_AMERICA	LATIN_AMERICA	USA	United States	USA.5_1	California	USA.5.36_1	San Bernardino			LC
1304418669				CC_BY_4_0	2016-04-15T21:41:31Z					ITA406			Bioversity				OCCURRENCE				e42afee5-c975-4372-9bbe-50d917202454	2903061		H. Olmo											native				PRESENT								. Coordinates do not match to country in source data. Not found a country in reverser geocoding. Bioversity International																																	NORTH_AMERICA				US	California	San Bernardino		USDA Experimental Vineyard in Guasti (B2 Row 72)									34.0698	-117.5972													original																																					Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			07044577-bd82-4089-9f3a-f4a9d2170b2e	CO	2024-04-29T10:14:31.071Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		EML	2024-04-29T10:14:31.071Z	2024-04-28T02:15:11.966Z	true			false	NORTH_AMERICA	LATIN_AMERICA	USA	United States	USA.5_1	California	USA.5.36_1	San Bernardino			LC
1304418662				CC_BY_4_0	2016-04-15T21:41:31Z					ITA406			Bioversity				OCCURRENCE				a0210eb6-9674-4d1a-ace1-4b08cf889168	2903063		H. Olmo											native				PRESENT								. Coordinates do not match to country in source data. Not found a country in reverser geocoding. Bioversity International																																	NORTH_AMERICA				US	California	San Bernardino		USDA Experimental Vineyard in Guasti (B2 Row 65)									34.0698	-117.5972													original																																					Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			07044577-bd82-4089-9f3a-f4a9d2170b2e	CO	2024-04-29T10:14:21.488Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera		EML	2024-04-29T10:14:21.488Z	2024-04-28T02:15:11.966Z	true			false	NORTH_AMERICA	LATIN_AMERICA	USA	United States	USA.5_1	California	USA.5.36_1	San Bernardino			LC
